temp,oxygen,water,length
low,low,low,4.8
low,low,low,2.5
low,low,low,2.1
low,low,low,1.9
low,low,low,1.9
low,low,low,1.6
low,low,low,1.5
low,low,low,1.5
low,low,low,1.3
low,low,low,1.1
low,low,medium,2.7
low,low,medium,2.7
low,low,medium,2.6
low,low,medium,2.4
low,low,medium,2.3
low,low,medium,2.2
low,low,medium,1.9
low,low,medium,1.5
low,low,medium,1.3
low,low,medium,1.1
low,low,high,3
low,low,high,2.7
low,low,high,2.3
low,low,high,2.2
low,low,high,1.9
low,low,high,1.8
low,low,high,1.6
low,low,high,1.4
low,low,high,1.1
low,low,high,0.9
low,medium,low,6.5
low,medium,low,5.7
low,medium,low,2.4
low,medium,low,2.3
low,medium,low,1.6
low,medium,low,1.4
low,medium,low,1.3
low,medium,low,1.2
low,medium,low,0.9
low,medium,low,0.8
low,medium,medium,3.1
low,medium,medium,2.9
low,medium,medium,2
low,medium,medium,1.8
low,medium,medium,1.7
low,medium,medium,1.6
low,medium,medium,1.5
low,medium,medium,1.3
low,medium,medium,1
low,medium,medium,0.7
low,medium,high,3.3
low,medium,high,2.3
low,medium,high,2.2
low,medium,high,1.9
low,medium,high,1.7
low,medium,high,1.5
low,medium,high,1.4
low,medium,high,1.4
low,medium,high,0.9
low,medium,high,0.9
low,high,low,5.4
low,high,low,4.6
low,high,low,3.9
low,high,low,3.2
low,high,low,3
low,high,low,2
low,high,low,1.5
low,high,low,1.1
low,high,low,0.8
low,high,low,0.7
low,high,medium,3
low,high,medium,2.5
low,high,medium,2.4
low,high,medium,2.3
low,high,medium,1.6
low,high,medium,1.3
low,high,medium,1.3
low,high,medium,1
low,high,medium,0.8
low,high,medium,0.7
low,high,high,2.8
low,high,high,2.5
low,high,high,2.3
low,high,high,2
low,high,high,2
low,high,high,1.6
low,high,high,1.5
low,high,high,1
low,high,high,0.9
low,high,high,0.7
medium,low,low,17.7
medium,low,low,14.4
medium,low,low,13.9
medium,low,low,13.9
medium,low,low,13.6
medium,low,low,13.5
medium,low,low,13.3
medium,low,low,12.6
medium,low,low,4
medium,low,low,2.6
medium,low,medium,19.9
medium,low,medium,16.4
medium,low,medium,14.8
medium,low,medium,14.7
medium,low,medium,13.9
medium,low,medium,13.8
medium,low,medium,11.3
medium,low,medium,11
medium,low,medium,6.2
medium,low,medium,6.1
medium,low,high,10.6
medium,low,high,10.3
medium,low,high,10.1
medium,low,high,8.4
medium,low,high,6.6
medium,low,high,4.6
medium,low,high,1.7
medium,low,high,1.5
medium,low,high,1.1
medium,low,high,0.8
medium,medium,low,15.3
medium,medium,low,15
medium,medium,low,14.8
medium,medium,low,13.4
medium,medium,low,12.4
medium,medium,low,11.8
medium,medium,low,11.1
medium,medium,low,10.4
medium,medium,low,9.5
medium,medium,low,3.4
medium,medium,medium,13.3
medium,medium,medium,11.9
medium,medium,medium,11.5
medium,medium,medium,9.4
medium,medium,medium,8.7
medium,medium,medium,8.6
medium,medium,medium,7.6
medium,medium,medium,3.8
medium,medium,medium,2.8
medium,medium,medium,2.4
medium,medium,high,15.6
medium,medium,high,13.5
medium,medium,high,13
medium,medium,high,12.5
medium,medium,high,10.3
medium,medium,high,8.4
medium,medium,high,3.2
medium,medium,high,1.9
medium,medium,high,1.9
medium,medium,high,1.4
medium,high,low,19
medium,high,low,16
medium,high,low,15
medium,high,low,14.7
medium,high,low,12.6
medium,high,low,12.2
medium,high,low,11.1
medium,high,low,10.2
medium,high,low,9.8
medium,high,low,8
medium,high,medium,18
medium,high,medium,14.4
medium,high,medium,13.9
medium,high,medium,13.4
medium,high,medium,13
medium,high,medium,13
medium,high,medium,12.8
medium,high,medium,12
medium,high,medium,11.8
medium,high,medium,10.3
medium,high,high,10
medium,high,high,2.8
medium,high,high,2.3
medium,high,high,2
medium,high,high,1.8
medium,high,high,1.6
medium,high,high,1.4
medium,high,high,1.3
medium,high,high,1.3
medium,high,high,0.7
high,low,low,10.8
high,low,low,5.6
high,low,low,2.6
high,low,low,2.5
high,low,low,2.2
high,low,low,2
high,low,low,1.8
high,low,low,1.5
high,low,low,1.4
high,low,low,1
high,low,medium,2.8
high,low,medium,2.6
high,low,medium,2.4
high,low,medium,2.3
high,low,medium,1.6
high,low,medium,1.5
high,low,medium,1.4
high,low,medium,1.1
high,low,medium,0.8
high,low,medium,0.4
high,low,high,3.6
high,low,high,2.9
high,low,high,2.1
high,low,high,1.9
high,low,high,1.9
high,low,high,1.6
high,low,high,1.4
high,low,high,1.3
high,low,high,1.2
high,low,high,1.1
high,medium,low,15.5
high,medium,low,15.1
high,medium,low,14.9
high,medium,low,14.5
high,medium,low,12.5
high,medium,low,12.4
high,medium,low,12.4
high,medium,low,12
high,medium,low,8.4
high,medium,low,6.6
high,medium,medium,15.1
high,medium,medium,13.6
high,medium,medium,12.6
high,medium,medium,12.4
high,medium,medium,12.1
high,medium,medium,12
high,medium,medium,11.3
high,medium,medium,10.1
high,medium,medium,9.9
high,medium,medium,8.9
high,medium,high,5.7
high,medium,high,4.1
high,medium,high,3.5
high,medium,high,3.1
high,medium,high,2
high,medium,high,1.9
high,medium,high,1.8
high,medium,high,1.5
high,medium,high,1.1
high,medium,high,0.5
high,high,low,15
high,high,low,14.7
high,high,low,14.5
high,high,low,13.5
high,high,low,12.6
high,high,low,12.2
high,high,low,11.9
high,high,low,9.9
high,high,low,9.7
high,high,low,7
high,high,medium,14.6
high,high,medium,14.1
high,high,medium,13.6
high,high,medium,10.6
high,high,medium,10.5
high,high,medium,10
high,high,medium,9.7
high,high,medium,9.4
high,high,medium,8.5
high,high,medium,6.6
high,high,high,13.8
