courseevaluation,tenured,minority,age,female,students,lower,beauty
3.9,1,0,46,1,45,0,-0.1563634
4,1,0,58,0,45,1,-0.4101976
4.5,1,0,60,0,45,0,-0.4837456
4.3,1,0,60,0,45,1,-0.4837456
4.2,1,0,52,0,45,0,0.6683338
4.3,1,0,40,1,46,0,-0.7663125
4.6,1,0,64,0,47,0,-0.1994712
3.5,1,0,58,0,47,1,-0.4101976
3,0,0,63,0,47,0,-0.0985568
4.4,0,0,31,1,48,0,1.421445
4.5,0,0,31,1,48,0,1.421445
4.5,0,0,33,1,48,0,0.0613435
4,1,0,70,0,48,0,-0.8210418
3.3,1,1,44,1,48,0,0.9525534
4.3,0,0,52,1,48,0,-1.178738
4.5,0,0,33,1,49,0,0.0613435
3.6,0,0,56,1,49,0,-1.070734
4.5,1,0,62,0,50,0,-0.8214405
4.6,1,0,35,0,50,1,0.1865589
4.2,1,0,35,0,51,0,0.1865589
4,1,0,43,1,51,1,-0.6466943
4,1,0,42,0,51,0,0.1285433
3.3,0,0,37,1,52,0,0.4619388
4.4,0,0,52,1,52,0,-1.178738
4.3,0,0,56,1,53,0,-1.070734
3.7,1,0,51,0,55,0,-0.6603327
3.8,1,1,44,1,55,0,0.9525534
3.3,1,0,62,0,55,1,-1.269975
3,1,0,51,1,56,0,0.9005994
3.7,1,0,42,0,57,0,0.1285433
3.3,1,0,42,0,57,0,0.1285433
4.2,1,0,35,0,57,0,0.1865589
4,1,0,49,0,57,0,0.9626006
4.4,0,0,31,1,59,0,1.421445
4.5,0,0,33,1,60,0,0.0613435
4.1,0,0,38,1,60,1,-1.113346
3.6,0,1,35,1,60,1,1.681103
3.9,1,0,42,1,62,1,0.7962944
3.8,1,0,52,0,62,0,0.6683338
4.1,0,0,38,1,62,1,-1.113346
3.6,1,0,52,1,63,0,0.9755885
3.5,1,0,70,0,64,0,-0.8210418
3.5,0,0,38,1,64,1,-1.113346
4.5,1,0,38,1,65,0,0.9825948
3.9,1,0,52,1,65,0,0.9755885
3.8,1,0,52,0,65,0,0.6683338
4.1,0,0,52,1,66,0,-1.178738
3.2,0,1,42,1,66,0,0.3320507
4.1,1,0,52,0,67,0,-0.7447439
3,1,0,51,1,67,0,0.3034731
4.4,1,0,38,1,67,0,0.9825948
3.8,1,0,52,0,67,0,0.6683338
3.4,1,0,47,1,67,1,0.2510546
3.3,0,1,42,1,67,0,0.3320507
4.4,0,0,38,1,68,1,-1.113346
4.5,1,0,64,0,68,0,-0.1994712
4.8,1,0,38,1,68,0,0.9825948
3.5,1,0,52,0,69,0,0.6683338
3.4,1,0,70,0,69,0,-0.8210418
4,1,0,52,0,69,0,-0.7447439
4.5,1,0,38,1,69,0,0.9825948
2.9,1,0,62,0,70,1,-1.269975
3.9,0,0,34,1,73,0,-1.538843
4.3,0,0,52,1,75,0,-1.178738
4.2,1,0,57,0,77,0,0.5434852
4.1,1,0,57,0,78,0,0.5434852
3.7,1,0,51,1,78,0,0.9005994
3.6,1,0,38,0,79,1,-0.6548505
3.4,1,0,43,0,79,0,-0.1135935
4.7,1,0,38,1,80,0,0.9825948
3.4,0,0,34,1,80,1,-1.538843
3.6,0,0,52,1,80,0,-1.178738
3.5,1,0,52,0,82,0,-0.7447439
3.9,1,0,42,1,82,0,0.7962944
3.3,0,1,42,1,84,0,0.3320507
4.1,1,0,38,0,84,1,-0.6548505
4.4,0,0,32,0,85,0,1.143045
4,1,0,42,0,86,0,-0.9889295
4.3,0,0,32,0,86,0,1.143045
3.7,1,0,38,0,87,1,-0.6548505
4.4,0,0,31,1,87,0,1.421445
3.7,1,0,52,1,88,0,0.6851749
4.4,1,0,57,0,88,0,0.5434852
4,1,0,52,0,89,0,-0.7447439
3.7,0,0,34,1,90,1,-1.538843
3.8,0,0,34,1,91,1,-1.538843
4,1,0,38,0,92,1,-0.6548505
3.4,0,1,35,1,96,1,1.681103
3.6,1,0,57,0,97,0,-0.8351366
3.9,1,0,52,0,98,0,-0.7447439
3.9,1,0,52,1,98,0,0.6851749
3.5,1,0,57,0,98,0,-0.8351366
3.7,0,0,52,1,100,0,-1.178738
4.5,0,0,32,0,101,1,1.143045
3.6,1,1,43,1,103,1,-0.2397178
4.5,0,0,32,0,103,0,-0.4143639
3.8,0,1,35,1,108,1,1.681103
4,1,0,52,1,111,1,-0.0901815
4,0,0,48,0,111,1,-0.1426931
3.5,1,0,52,0,114,0,-0.7447439
4.3,0,0,33,0,120,1,0.6362435
4,1,0,58,0,122,0,-0.4101976
3.4,1,0,52,0,122,0,-0.7447439
4.4,0,1,36,1,123,0,0.2015666
3.7,0,1,36,1,125,0,0.2015666
3.6,0,1,36,1,125,0,0.2015666
4.2,0,0,32,0,127,1,1.143045
4.5,1,0,62,0,130,0,0.5002196
4,1,0,52,0,131,0,-0.7447439
4.3,0,0,32,0,132,1,1.143045
4.4,1,0,70,0,134,0,-0.8210418
3.8,0,0,48,0,135,1,-0.1426931
4.2,0,0,48,0,136,1,-0.1426931
3,1,0,62,0,136,1,-1.269975
4.2,1,0,38,1,137,1,0.9825948
2.8,1,0,62,0,137,1,-1.269975
4.2,0,0,48,0,140,1,-0.1426931
4.3,0,0,48,0,149,1,-0.1426931
3.8,1,0,52,0,149,0,-0.7447439
2.8,1,0,62,0,149,1,-1.269975
4.3,1,0,58,0,151,0,-0.4101976
4.1,0,0,33,0,155,1,0.6362435
3.7,1,0,62,0,157,1,-0.8214405
4.2,1,0,38,1,157,1,0.9825948
4.2,1,0,58,0,159,0,-0.4101976
4.3,1,0,45,0,161,1,-0.1503849
3.4,1,0,62,0,164,1,-0.8214405
3.6,0,0,32,0,168,1,-0.4143639
4,1,0,45,0,177,1,-0.1503849
3.6,1,0,62,0,184,1,-0.8214405
2.8,1,1,43,1,190,1,-0.2397178
3.2,1,0,51,0,195,0,-0.6603327
4,1,0,45,0,199,1,-0.1503849
3.9,1,0,39,0,246,1,0.4883314
3.6,0,0,32,0,247,1,-0.4143639
3.7,0,0,32,0,248,1,-0.4143639
3.6,1,0,43,1,254,1,-0.6466943
3.1,1,0,43,1,266,1,-0.6466943
4.6,1,0,62,0,272,0,0.5002196
4.2,1,0,62,0,282,0,0.5002196
3,1,0,43,1,282,1,-0.6466943
4.3,1,0,62,0,285,0,0.5002196
4.8,1,0,62,0,286,0,0.5002196
4.4,1,0,62,0,292,0,0.5002196
4.3,1,0,62,0,302,0,0.5002196
3.7,1,0,39,0,316,1,0.4883314
4.7,1,0,51,0,527,1,0.7924695
4.5,1,0,51,0,537,1,0.7924695
4.6,1,0,51,0,574,1,0.7924695
4.5,1,0,51,0,579,1,0.7924695
4.6,1,0,51,0,581,1,0.7924695
